¡	&iexcl;	&#x000A1;	&#161;	INVERTED EXCLAMATION MARK
М	&Mcy;	&#x0041C;	&#1052;	CYRILLIC CAPITAL LETTER EM
Н	&Ncy;	&#x0041D;	&#1053;	CYRILLIC CAPITAL LETTER EN
О	&Ocy;	&#x0041E;	&#1054;	CYRILLIC CAPITAL LETTER O
П	&Pcy;	&#x0041F;	&#1055;	CYRILLIC CAPITAL LETTER PE
Р	&Rcy;	&#x00420;	&#1056;	CYRILLIC CAPITAL LETTER ER
С	&Scy;	&#x00421;	&#1057;	CYRILLIC CAPITAL LETTER ES
Т	&Tcy;	&#x00422;	&#1058;	CYRILLIC CAPITAL LETTER TE
У	&Ucy;	&#x00423;	&#1059;	CYRILLIC CAPITAL LETTER U
Ф	&Fcy;	&#x00424;	&#1060;	CYRILLIC CAPITAL LETTER EF
Х	&KHcy;	&#x00425;	&#1061;	CYRILLIC CAPITAL LETTER HA
Ц	&TScy;	&#x00426;	&#1062;	CYRILLIC CAPITAL LETTER TSE
Ч	&CHcy;	&#x00427;	&#1063;	CYRILLIC CAPITAL LETTER CHE
Ш	&SHcy;	&#x00428;	&#1064;	CYRILLIC CAPITAL LETTER SHA
Щ	&SHCHcy;	&#x00429;	&#1065;	CYRILLIC CAPITAL LETTER SHCHA
Ъ	&HARDcy;	&#x0042A;	&#1066;	CYRILLIC CAPITAL LETTER HARD SIGN
Ы	&Ycy;	&#x0042B;	&#1067;	CYRILLIC CAPITAL LETTER YERU
Ь	&SOFTcy;	&#x0042C;	&#1068;	CYRILLIC CAPITAL LETTER SOFT SIGN
Э	&Ecy;	&#x0042D;	&#1069;	CYRILLIC CAPITAL LETTER E
Ю	&YUcy;	&#x0042E;	&#1070;	CYRILLIC CAPITAL LETTER YU
Я	&YAcy;	&#x0042F;	&#1071;	CYRILLIC CAPITAL LETTER YA
а	&acy;	&#x00430;	&#1072;	CYRILLIC SMALL LETTER A
б	&bcy;	&#x00431;	&#1073;	CYRILLIC SMALL LETTER BE
в	&vcy;	&#x00432;	&#1074;	CYRILLIC SMALL LETTER VE
г	&gcy;	&#x00433;	&#1075;	CYRILLIC SMALL LETTER GHE
д	&dcy;	&#x00434;	&#1076;	CYRILLIC SMALL LETTER DE
е	&iecy;	&#x00435;	&#1077;	CYRILLIC SMALL LETTER IE
ж	&zhcy;	&#x00436;	&#1078;	CYRILLIC SMALL LETTER ZHE
з	&zcy;	&#x00437;	&#1079;	CYRILLIC SMALL LETTER ZE
и	&icy;	&#x00438;	&#1080;	CYRILLIC SMALL LETTER I
й	&jcy;	&#x00439;	&#1081;	CYRILLIC SMALL LETTER SHORT I
к	&kcy;	&#x0043A;	&#1082;	CYRILLIC SMALL LETTER KA
л	&lcy;	&#x0043B;	&#1083;	CYRILLIC SMALL LETTER EL
м	&mcy;	&#x0043C;	&#1084;	CYRILLIC SMALL LETTER EM
н	&ncy;	&#x0043D;	&#1085;	CYRILLIC SMALL LETTER EN
о	&ocy;	&#x0043E;	&#1086;	CYRILLIC SMALL LETTER O
п	&pcy;	&#x0043F;	&#1087;	CYRILLIC SMALL LETTER PE
р	&rcy;	&#x00440;	&#1088;	CYRILLIC SMALL LETTER ER
с	&scy;	&#x00441;	&#1089;	CYRILLIC SMALL LETTER ES
т	&tcy;	&#x00442;	&#1090;	CYRILLIC SMALL LETTER TE
у	&ucy;	&#x00443;	&#1091;	CYRILLIC SMALL LETTER U
ф	&fcy;	&#x00444;	&#1092;	CYRILLIC SMALL LETTER EF
х	&khcy;	&#x00445;	&#1093;	CYRILLIC SMALL LETTER HA
ц	&tscy;	&#x00446;	&#1094;	CYRILLIC SMALL LETTER TSE
ч	&chcy;	&#x00447;	&#1095;	CYRILLIC SMALL LETTER CHE
ш	&shcy;	&#x00448;	&#1096;	CYRILLIC SMALL LETTER SHA
щ	&shchcy;	&#x00449;	&#1097;	CYRILLIC SMALL LETTER SHCHA
ъ	&hardcy;	&#x0044A;	&#1098;	CYRILLIC SMALL LETTER HARD SIGN
ы	&ycy;	&#x0044B;	&#1099;	CYRILLIC SMALL LETTER YERU
ь	&softcy;	&#x0044C;	&#1100;	CYRILLIC SMALL LETTER SOFT SIGN
э	&ecy;	&#x0044D;	&#1101;	CYRILLIC SMALL LETTER E
ю	&yucy;	&#x0044E;	&#1102;	CYRILLIC SMALL LETTER YU
я	&yacy;	&#x0044F;	&#1103;	CYRILLIC SMALL LETTER YA
ё	&iocy;	&#x00451;	&#1105;	CYRILLIC SMALL LETTER IO
ђ	&djcy;	&#x00452;	&#1106;	CYRILLIC SMALL LETTER DJE
ѓ	&gjcy;	&#x00453;	&#1107;	CYRILLIC SMALL LETTER GJE
є	&jukcy;	&#x00454;	&#1108;	CYRILLIC SMALL LETTER UKRAINIAN IE
ѕ	&dscy;	&#x00455;	&#1109;	CYRILLIC SMALL LETTER DZE
і	&iukcy;	&#x00456;	&#1110;	CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I
ї	&yicy;	&#x00457;	&#1111;	CYRILLIC SMALL LETTER YI
ј	&jsercy;	&#x00458;	&#1112;	CYRILLIC SMALL LETTER JE
љ	&ljcy;	&#x00459;	&#1113;	CYRILLIC SMALL LETTER LJE
њ	&njcy;	&#x0045A;	&#1114;	CYRILLIC SMALL LETTER NJE
ћ	&tshcy;	&#x0045B;	&#1115;	CYRILLIC SMALL LETTER TSHE
ќ	&kjcy;	&#x0045C;	&#1116;	CYRILLIC SMALL LETTER KJE
ў	&ubrcy;	&#x0045E;	&#1118;	CYRILLIC SMALL LETTER SHORT U
џ	&dzcy;	&#x0045F;	&#1119;	CYRILLIC SMALL LETTER DZHE
​	&ZeroWidthSpace; &NegativeVeryThinSpace; &NegativeThinSpace; &NegativeMediumSpace; &NegativeThickSpace;	&#x0200B;	&#8203;	ZERO WIDTH SPACE
‌	&zwnj;	&#x0200C;	&#8204;	ZERO WIDTH NON-JOINER
‍	&zwj;	&#x0200D;	&#8205;	ZERO WIDTH JOINER
‎	&lrm;	&#x0200E;	&#8206;	LEFT-TO-RIGHT MARK
‏	&rlm;	&#x0200F;	&#8207;	RIGHT-TO-LEFT MARK
―	&horbar;	&#x02015;	&#8213;	HORIZONTAL BAR
‖	&Verbar; &Vert;	&#x02016;	&#8214;	DOUBLE VERTICAL LINE
‚	&lsquor; &sbquo;	&#x0201A;	&#8218;	SINGLE LOW-9 QUOTATION MARK
„	&ldquor; &bdquo;	&#x0201E;	&#8222;	DOUBLE LOW-9 QUOTATION MARK
†	&dagger;	&#x02020;	&#8224;	DAGGER
‡	&Dagger; &ddagger;	&#x02021;	&#8225;	DOUBLE DAGGER
•	&bull; &bullet;	&#x02022;	&#8226;	BULLET
‥	&nldr;	&#x02025;	&#8229;	TWO DOT LEADER
…	&hellip; &mldr;	&#x02026;	&#8230;	HORIZONTAL ELLIPSIS
‰	&permil;	&#x02030;	&#8240;	PER MILLE SIGN
‱	&pertenk;	&#x02031;	&#8241;	PER TEN THOUSAND SIGN
′	&prime;	&#x02032;	&#8242;	PRIME
″	&Prime;	&#x02033;	&#8243;	DOUBLE PRIME
‴	&tprime;	&#x02034;	&#8244;	TRIPLE PRIME
‵	&bprime; &backprime;	&#x02035;	&#8245;	REVERSED PRIME
‹	&lsaquo;	&#x02039;	&#8249;	SINGLE LEFT-POINTING ANGLE QUOTATION MARK
›	&rsaquo;	&#x0203A;	&#8250;	SINGLE RIGHT-POINTING ANGLE QUOTATION MARK
‾	&oline;	&#x0203E;	&#8254;	OVERLINE
⁁	&caret;	&#x02041;	&#8257;	CARET INSERTION POINT
⁃	&hybull;	&#x02043;	&#8259;	HYPHEN BULLET
⁄	&frasl;	&#x02044;	&#8260;	FRACTION SLASH
⁏	&bsemi;	&#x0204F;	&#8271;	REVERSED SEMICOLON
⁗	&qprime;	&#x02057;	&#8279;	QUADRUPLE PRIME
€	&euro;	&#x020AC;	&#8364;	EURO SIGN
⃛	&tdot; &TripleDot;	&#x020DB;	&#8411;	COMBINING THREE DOTS ABOVE
⃜	&DotDot;	&#x020DC;	&#8412;	COMBINING FOUR DOTS ABOVE
ℂ	&Copf; &complexes;	&#x02102;	&#8450;	DOUBLE-STRUCK CAPITAL C
℅	&incare;	&#x02105;	&#8453;	CARE OF
ℊ	&gscr;	&#x0210A;	&#8458;	SCRIPT SMALL G
ℋ	&hamilt; &HilbertSpace; &Hscr;	&#x0210B;	&#8459;	SCRIPT CAPITAL H
ℌ	&Hfr; &Poincareplane;	&#x0210C;	&#8460;	BLACK-LETTER CAPITAL H
ℍ	&quaternions; &Hopf;	&#x0210D;	&#8461;	DOUBLE-STRUCK CAPITAL H
ℎ	&planckh;	&#x0210E;	&#8462;	PLANCK CONSTANT
ℏ	&planck; &hbar; &plankv; &hslash;	&#x0210F;	&#8463;	PLANCK CONSTANT OVER TWO PI
ℐ	&Iscr; &imagline;	&#x02110;	&#8464;	SCRIPT CAPITAL I
ℑ	&image; &Im; &imagpart; &Ifr;	&#x02111;	&#8465;	BLACK-LETTER CAPITAL I
ℒ	&Lscr; &lagran; &Laplacetrf;	&#x02112;	&#8466;	SCRIPT CAPITAL L
ℓ	&ell;	&#x02113;	&#8467;	SCRIPT SMALL L
ℕ	&Nopf; &naturals;	&#x02115;	&#8469;	DOUBLE-STRUCK CAPITAL N
№	&numero;	&#x02116;	&#8470;	NUMERO SIGN
℗	&copysr;	&#x02117;	&#8471;	SOUND RECORDING COPYRIGHT
℘	&weierp; &wp;	&#x02118;	&#8472;	SCRIPT CAPITAL P
ℙ	&Popf; &primes;	&#x02119;	&#8473;	DOUBLE-STRUCK CAPITAL P
ℚ	&rationals; &Qopf;	&#x0211A;	&#8474;	DOUBLE-STRUCK CAPITAL Q
ℛ	&Rscr; &realine;	&#x0211B;	&#8475;	SCRIPT CAPITAL R
ℜ	&real; &Re; &realpart; &Rfr;	&#x0211C;	&#8476;	BLACK-LETTER CAPITAL R
ℝ	&reals; &Ropf;	&#x0211D;	&#8477;	DOUBLE-STRUCK CAPITAL R
℞	&rx;	&#x0211E;	&#8478;	PRESCRIPTION TAKE
™	&trade; &TRADE;	&#x02122;	&#8482;	TRADE MARK SIGN
ℤ	&integers; &Zopf;	&#x02124;	&#8484;	DOUBLE-STRUCK CAPITAL Z
Ω	&ohm;	&#x02126;	&#8486;	OHM SIGN
℧	&mho;	&#x02127;	&#8487;	INVERTED OHM SIGN
ℨ	&Zfr; &zeetrf;	&#x02128;	&#8488;	BLACK-LETTER CAPITAL Z
℩	&iiota;	&#x02129;	&#8489;	TURNED GREEK SMALL LETTER IOTA
Å	&angst;	&#x0212B;	&#8491;	ANGSTROM SIGN
ℬ	&bernou; &Bernoullis; &Bscr;	&#x0212C;	&#8492;	SCRIPT CAPITAL B
ℭ	&Cfr; &Cayleys;	&#x0212D;	&#8493;	BLACK-LETTER CAPITAL C
ℯ	&escr;	&#x0212F;	&#8495;	SCRIPT SMALL E
ℰ	&Escr; &expectation;	&#x02130;	&#8496;	SCRIPT CAPITAL E
ℱ	&Fscr; &Fouriertrf;	&#x02131;	&#8497;	SCRIPT CAPITAL F
ℳ	&phmmat; &Mellintrf; &Mscr;	&#x02133;	&#8499;	SCRIPT CAPITAL M
ℴ	&order; &orderof; &oscr;	&#x02134;	&#8500;	SCRIPT SMALL O
ℵ	&alefsym; &aleph;	&#x02135;	&#8501;	ALEF SYMBOL
ℶ	&beth;	&#x02136;	&#8502;	BET SYMBOL
ℷ	&gimel;	&#x02137;	&#8503;	GIMEL SYMBOL
ℸ	&daleth;	&#x02138;	&#8504;	DALET SYMBOL
ⅅ	&CapitalDifferentialD; &DD;	&#x02145;	&#8517;	DOUBLE-STRUCK ITALIC CAPITAL D
ⅆ	&DifferentialD; &dd;	&#x02146;	&#8518;	DOUBLE-STRUCK ITALIC SMALL D
ⅇ	&ExponentialE; &exponentiale; &ee;	&#x02147;	&#8519;	DOUBLE-STRUCK ITALIC SMALL E
ⅈ	&ImaginaryI; &ii;	&#x02148;	&#8520;	DOUBLE-STRUCK ITALIC SMALL I
⅓	&frac13;	&#x02153;	&#8531;	VULGAR FRACTION ONE THIRD
⅔	&frac23;	&#x02154;	&#8532;	VULGAR FRACTION TWO THIRDS
⅕	&frac15;	&#x02155;	&#8533;	VULGAR FRACTION ONE FIFTH
⅖	&frac25;	&#x02156;	&#8534;	VULGAR FRACTION TWO FIFTHS
⅗	&frac35;	&#x02157;	&#8535;	VULGAR FRACTION THREE FIFTHS
⅘	&frac45;	&#x02158;	&#8536;	VULGAR FRACTION FOUR FIFTHS
⅙	&frac16;	&#x02159;	&#8537;	VULGAR FRACTION ONE SIXTH
⅚	&frac56;	&#x0215A;	&#8538;	VULGAR FRACTION FIVE SIXTHS
⅛	&frac18;	&#x0215B;	&#8539;	VULGAR FRACTION ONE EIGHTH
⅜	&frac38;	&#x0215C;	&#8540;	VULGAR FRACTION THREE EIGHTHS
⅝	&frac58;	&#x0215D;	&#8541;	VULGAR FRACTION FIVE EIGHTHS
⅞	&frac78;	&#x0215E;	&#8542;	VULGAR FRACTION SEVEN EIGHTHS
←	&larr; &leftarrow; &LeftArrow; &slarr; &ShortLeftArrow;	&#x02190;	&#8592;	LEFTWARDS ARROW
↑	&uarr; &uparrow; &UpArrow; &ShortUpArrow;	&#x02191;	&#8593;	UPWARDS ARROW
→	&rarr; &rightarrow; &RightArrow; &srarr; &ShortRightArrow;	&#x02192;	&#8594;	RIGHTWARDS ARROW
↓	&darr; &downarrow; &DownArrow; &ShortDownArrow;	&#x02193;	&#8595;	DOWNWARDS ARROW
↔	&harr; &leftrightarrow; &LeftRightArrow;	&#x02194;	&#8596;	LEFT RIGHT ARROW
↕	&varr; &updownarrow; &UpDownArrow;	&#x02195;	&#8597;	UP DOWN ARROW
↖	&nwarr; &UpperLeftArrow; &nwarrow;	&#x02196;	&#8598;	NORTH WEST ARROW
↗	&nearr; &UpperRightArrow; &nearrow;	&#x02197;	&#8599;	NORTH EAST ARROW
↘	&searr; &searrow; &LowerRightArrow;	&#x02198;	&#8600;	SOUTH EAST ARROW
↙	&swarr; &swarrow; &LowerLeftArrow;	&#x02199;	&#8601;	SOUTH WEST ARROW
↚	&nlarr; &nleftarrow;	&#x0219A;	&#8602;	LEFTWARDS ARROW WITH STROKE
↛	&nrarr; &nrightarrow;	&#x0219B;	&#8603;	RIGHTWARDS ARROW WITH STROKE
↝	&rarrw; &rightsquigarrow;	&#x0219D;	&#8605;	RIGHTWARDS WAVE ARROW
↞	&Larr; &twoheadleftarrow;	&#x0219E;	&#8606;	LEFTWARDS TWO HEADED ARROW
↟	&Uarr;	&#x0219F;	&#8607;	UPWARDS TWO HEADED ARROW
↠	&Rarr; &twoheadrightarrow;	&#x021A0;	&#8608;	RIGHTWARDS TWO HEADED ARROW
↡	&Darr;	&#x021A1;	&#8609;	DOWNWARDS TWO HEADED ARROW
↢	&larrtl; &leftarrowtail;	&#x021A2;	&#8610;	LEFTWARDS ARROW WITH TAIL
↣	&rarrtl; &rightarrowtail;	&#x021A3;	&#8611;	RIGHTWARDS ARROW WITH TAIL
↤	&LeftTeeArrow; &mapstoleft;	&#x021A4;	&#8612;	LEFTWARDS ARROW FROM BAR
↥	&UpTeeArrow; &mapstoup;	&#x021A5;	&#8613;	UPWARDS ARROW FROM BAR
↦	&map; &RightTeeArrow; &mapsto;	&#x021A6;	&#8614;	RIGHTWARDS ARROW FROM BAR
↧	&DownTeeArrow; &mapstodown;	&#x021A7;	&#8615;	DOWNWARDS ARROW FROM BAR
↩	&larrhk; &hookleftarrow;	&#x021A9;	&#8617;	LEFTWARDS ARROW WITH HOOK
↪	&rarrhk; &hookrightarrow;	&#x021AA;	&#8618;	RIGHTWARDS ARROW WITH HOOK
↫	&larrlp; &looparrowleft;	&#x021AB;	&#8619;	LEFTWARDS ARROW WITH LOOP
↬	&rarrlp; &looparrowright;	&#x021AC;	&#8620;	RIGHTWARDS ARROW WITH LOOP
↭	&harrw; &leftrightsquigarrow;	&#x021AD;	&#8621;	LEFT RIGHT WAVE ARROW
↮	&nharr; &nleftrightarrow;	&#x021AE;	&#8622;	LEFT RIGHT ARROW WITH STROKE
↰	&lsh; &Lsh;	&#x021B0;	&#8624;	UPWARDS ARROW WITH TIP LEFTWARDS
↱	&rsh; &Rsh;	&#x021B1;	&#8625;	UPWARDS ARROW WITH TIP RIGHTWARDS
↲	&ldsh;	&#x021B2;	&#8626;	DOWNWARDS ARROW WITH TIP LEFTWARDS
↳	&rdsh;	&#x021B3;	&#8627;	DOWNWARDS ARROW WITH TIP RIGHTWARDS
↵	&crarr;	&#x021B5;	&#8629;	DOWNWARDS ARROW WITH CORNER LEFTWARDS
↶	&cularr; &curvearrowleft;	&#x021B6;	&#8630;	ANTICLOCKWISE TOP SEMICIRCLE ARROW
↷	&curarr; &curvearrowright;	&#x021B7;	&#8631;	CLOCKWISE TOP SEMICIRCLE ARROW
↺	&olarr; &circlearrowleft;	&#x021BA;	&#8634;	ANTICLOCKWISE OPEN CIRCLE ARROW
↻	&orarr; &circlearrowright;	&#x021BB;	&#8635;	CLOCKWISE OPEN CIRCLE ARROW
↼	&lharu; &LeftVector; &leftharpoonup;	&#x021BC;	&#8636;	LEFTWARDS HARPOON WITH BARB UPWARDS
↽	&lhard; &leftharpoondown; &DownLeftVector;	&#x021BD;	&#8637;	LEFTWARDS HARPOON WITH BARB DOWNWARDS
↾	&uharr; &upharpoonright; &RightUpVector;	&#x021BE;	&#8638;	UPWARDS HARPOON WITH BARB RIGHTWARDS
↿	&uharl; &upharpoonleft; &LeftUpVector;	&#x021BF;	&#8639;	UPWARDS HARPOON WITH BARB LEFTWARDS
⇀	&rharu; &RightVector; &rightharpoonup;	&#x021C0;	&#8640;	RIGHTWARDS HARPOON WITH BARB UPWARDS
⇁	&rhard; &rightharpoondown; &DownRightVector;	&#x021C1;	&#8641;	RIGHTWARDS HARPOON WITH BARB DOWNWARDS
⇂	&dharr; &RightDownVector; &downharpoonright;	&#x021C2;	&#8642;	DOWNWARDS HARPOON WITH BARB RIGHTWARDS
⇃	&dharl; &LeftDownVector; &downharpoonleft;	&#x021C3;	&#8643;	DOWNWARDS HARPOON WITH BARB LEFTWARDS
⇄	&rlarr; &rightleftarrows; &RightArrowLeftArrow;	&#x021C4;	&#8644;	RIGHTWARDS ARROW OVER LEFTWARDS ARROW
⇅	&udarr; &UpArrowDownArrow;	&#x021C5;	&#8645;	UPWARDS ARROW LEFTWARDS OF DOWNWARDS ARROW
⇆	&lrarr; &leftrightarrows; &LeftArrowRightArrow;	&#x021C6;	&#8646;	LEFTWARDS ARROW OVER RIGHTWARDS ARROW
⇇	&llarr; &leftleftarrows;	&#x021C7;	&#8647;	LEFTWARDS PAIRED ARROWS
⇈	&uuarr; &upuparrows;	&#x021C8;	&#8648;	UPWARDS PAIRED ARROWS
⇉	&rrarr; &rightrightarrows;	&#x021C9;	&#8649;	RIGHTWARDS PAIRED ARROWS
⇊	&ddarr; &downdownarrows;	&#x021CA;	&#8650;	DOWNWARDS PAIRED ARROWS
⇋	&lrhar; &ReverseEquilibrium; &leftrightharpoons;	&#x021CB;	&#8651;	LEFTWARDS HARPOON OVER RIGHTWARDS HARPOON
⇌	&rlhar; &rightleftharpoons; &Equilibrium;	&#x021CC;	&#8652;	RIGHTWARDS HARPOON OVER LEFTWARDS HARPOON
⇍	&nlArr; &nLeftarrow;	&#x021CD;	&#8653;	LEFTWARDS DOUBLE ARROW WITH STROKE
⇎	&nhArr; &nLeftrightarrow;	&#x021CE;	&#8654;	LEFT RIGHT DOUBLE ARROW WITH STROKE
⇏	&nrArr; &nRightarrow;	&#x021CF;	&#8655;	RIGHTWARDS DOUBLE ARROW WITH STROKE
⇐	&lArr; &Leftarrow; &DoubleLeftArrow;	&#x021D0;	&#8656;	LEFTWARDS DOUBLE ARROW
⇑	&uArr; &Uparrow; &DoubleUpArrow;	&#x021D1;	&#8657;	UPWARDS DOUBLE ARROW
⇒	&rArr; &Rightarrow; &Implies; &DoubleRightArrow;	&#x021D2;	&#8658;	RIGHTWARDS DOUBLE ARROW
⇓	&dArr; &Downarrow; &DoubleDownArrow;	&#x021D3;	&#8659;	DOWNWARDS DOUBLE ARROW
⇔	&hArr; &Leftrightarrow; &DoubleLeftRightArrow; &iff;	&#x021D4;	&#8660;	LEFT RIGHT DOUBLE ARROW
⇕	&vArr; &Updownarrow; &DoubleUpDownArrow;	&#x021D5;	&#8661;	UP DOWN DOUBLE ARROW
⇖	&nwArr;	&#x021D6;	&#8662;	NORTH WEST DOUBLE ARROW
⇗	&neArr;	&#x021D7;	&#8663;	NORTH EAST DOUBLE ARROW
⇘	&seArr;	&#x021D8;	&#8664;	SOUTH EAST DOUBLE ARROW
⇙	&swArr;	&#x021D9;	&#8665;	SOUTH WEST DOUBLE ARROW
⇚	&lAarr; &Lleftarrow;	&#x021DA;	&#8666;	LEFTWARDS TRIPLE ARROW
⇛	&rAarr; &Rrightarrow;	&#x021DB;	&#8667;	RIGHTWARDS TRIPLE ARROW
⇝	&zigrarr;	&#x021DD;	&#8669;	RIGHTWARDS SQUIGGLE ARROW
⇤	&larrb; &LeftArrowBar;	&#x021E4;	&#8676;	LEFTWARDS ARROW TO BAR
⇥	&rarrb; &RightArrowBar;	&#x021E5;	&#8677;	RIGHTWARDS ARROW TO BAR
⇵	&duarr; &DownArrowUpArrow;	&#x021F5;	&#8693;	DOWNWARDS ARROW LEFTWARDS OF UPWARDS ARROW
⇽	&loarr;	&#x021FD;	&#8701;	LEFTWARDS OPEN-HEADED ARROW
⇾	&roarr;	&#x021FE;	&#8702;	RIGHTWARDS OPEN-HEADED ARROW
⇿	&hoarr;	&#x021FF;	&#8703;	LEFT RIGHT OPEN-HEADED ARROW
∀	&forall; &ForAll;	&#x02200;	&#8704;	FOR ALL
∁	&comp; &complement;	&#x02201;	&#8705;	COMPLEMENT
∂	&part; &PartialD;	&#x02202;	&#8706;	PARTIAL DIFFERENTIAL
∃	&exist; &Exists;	&#x02203;	&#8707;	THERE EXISTS
∄	&nexist; &NotExists; &nexists;	&#x02204;	&#8708;	THERE DOES NOT EXIST
∅	&empty; &emptyset; &emptyv; &varnothing;	&#x02205;	&#8709;	EMPTY SET
∇	&nabla; &Del;	&#x02207;	&#8711;	NABLA
∈	&isin; &isinv; &Element; &in;	&#x02208;	&#8712;	ELEMENT OF
∉	&notin; &NotElement; &notinva;	&#x02209;	&#8713;	NOT AN ELEMENT OF
∋	&niv; &ReverseElement; &ni; &SuchThat;	&#x0220B;	&#8715;	CONTAINS AS MEMBER
∌	&notni; &notniva; &NotReverseElement;	&#x0220C;	&#8716;	DOES NOT CONTAIN AS MEMBER
∏	&prod; &Product;	&#x0220F;	&#8719;	N-ARY PRODUCT
∐	&coprod; &Coproduct;	&#x02210;	&#8720;	N-ARY COPRODUCT
∑	&sum; &Sum;	&#x02211;	&#8721;	N-ARY SUMMATION
∓	&mnplus; &mp; &MinusPlus;	&#x02213;	&#8723;	MINUS-OR-PLUS SIGN
∔	&plusdo; &dotplus;	&#x02214;	&#8724;	DOT PLUS
∖	&setmn; &setminus; &Backslash; &ssetmn; &smallsetminus;	&#x02216;	&#8726;	SET MINUS
∗	&lowast;	&#x02217;	&#8727;	ASTERISK OPERATOR
∘	&compfn; &SmallCircle;	&#x02218;	&#8728;	RING OPERATOR
√	&radic; &Sqrt;	&#x0221A;	&#8730;	SQUARE ROOT
∝	&prop; &propto; &Proportional; &vprop; &varpropto;	&#x0221D;	&#8733;	PROPORTIONAL TO
∞	&infin;	&#x0221E;	&#8734;	INFINITY
∟	&angrt;	&#x0221F;	&#8735;	RIGHT ANGLE
∠	&ang; &angle;	&#x02220;	&#8736;	ANGLE
∡	&angmsd; &measuredangle;	&#x02221;	&#8737;	MEASURED ANGLE
∢	&angsph;	&#x02222;	&#8738;	SPHERICAL ANGLE
∣	&mid; &VerticalBar; &smid; &shortmid;	&#x02223;	&#8739;	DIVIDES
∤	&nmid; &NotVerticalBar; &nsmid; &nshortmid;	&#x02224;	&#8740;	DOES NOT DIVIDE
∥	&par; &parallel; &DoubleVerticalBar; &spar; &shortparallel;	&#x02225;	&#8741;	PARALLEL TO
∦	&npar; &nparallel; &NotDoubleVerticalBar; &nspar; &nshortparallel;	&#x02226;	&#8742;	NOT PARALLEL TO
∧	&and; &wedge;	&#x02227;	&#8743;	LOGICAL AND
∨	&or; &vee;	&#x02228;	&#8744;	LOGICAL OR
∩	&cap;	&#x02229;	&#8745;	INTERSECTION
∪	&cup;	&#x0222A;	&#8746;	UNION
∫	&int; &Integral;	&#x0222B;	&#8747;	INTEGRAL
∬	&Int;	&#x0222C;	&#8748;	DOUBLE INTEGRAL
∭	&tint; &iiint;	&#x0222D;	&#8749;	TRIPLE INTEGRAL
∮	&conint; &oint; &ContourIntegral;	&#x0222E;	&#8750;	CONTOUR INTEGRAL
∯	&Conint; &DoubleContourIntegral;	&#x0222F;	&#8751;	SURFACE INTEGRAL
∰	&Cconint;	&#x02230;	&#8752;	VOLUME INTEGRAL
∱	&cwint;	&#x02231;	&#8753;	CLOCKWISE INTEGRAL
∲	&cwconint; &ClockwiseContourIntegral;	&#x02232;	&#8754;	CLOCKWISE CONTOUR INTEGRAL
∳	&awconint; &CounterClockwiseContourIntegral;	&#x02233;	&#8755;	ANTICLOCKWISE CONTOUR INTEGRAL
∴	&there4; &therefore; &Therefore;	&#x02234;	&#8756;	THEREFORE
∵	&becaus; &because; &Because;	&#x02235;	&#8757;	BECAUSE
∶	&ratio;	&#x02236;	&#8758;	RATIO
∷	&Colon; &Proportion;	&#x02237;	&#8759;	PROPORTION
∸	&minusd; &dotminus;	&#x02238;	&#8760;	DOT MINUS
∺	&mDDot;	&#x0223A;	&#8762;	GEOMETRIC PROPORTION
∻	&homtht;	&#x0223B;	&#8763;	HOMOTHETIC
∼	&sim; &Tilde; &thksim; &thicksim;	&#x0223C;	&#8764;	TILDE OPERATOR
∽	&bsim; &backsim;	&#x0223D;	&#8765;	REVERSED TILDE
∾	&ac; &mstpos;	&#x0223E;	&#8766;	INVERTED LAZY S
∿	&acd;	&#x0223F;	&#8767;	SINE WAVE
≀	&wreath; &VerticalTilde; &wr;	&#x02240;	&#8768;	WREATH PRODUCT
≁	&nsim; &NotTilde;	&#x02241;	&#8769;	NOT TILDE
≂	&esim; &EqualTilde; &eqsim;	&#x02242;	&#8770;	MINUS TILDE
≃	&sime; &TildeEqual; &simeq;	&#x02243;	&#8771;	ASYMPTOTICALLY EQUAL TO
≄	&nsime; &nsimeq; &NotTildeEqual;	&#x02244;	&#8772;	NOT ASYMPTOTICALLY EQUAL TO
≅	&cong; &TildeFullEqual;	&#x02245;	&#8773;	APPROXIMATELY EQUAL TO
≆	&simne;	&#x02246;	&#8774;	APPROXIMATELY BUT NOT ACTUALLY EQUAL TO
≇	&ncong; &NotTildeFullEqual;	&#x02247;	&#8775;	NEITHER APPROXIMATELY NOR ACTUALLY EQUAL TO
≈	&asymp; &ap; &TildeTilde; &approx; &thkap; &thickapprox;	&#x02248;	&#8776;	ALMOST EQUAL TO
≉	&nap; &NotTildeTilde; &napprox;	&#x02249;	&#8777;	NOT ALMOST EQUAL TO
≊	&ape; &approxeq;	&#x0224A;	&#8778;	ALMOST EQUAL OR EQUAL TO
≋	&apid;	&#x0224B;	&#8779;	TRIPLE TILDE
≌	&bcong; &backcong;	&#x0224C;	&#8780;	ALL EQUAL TO
≍	&asympeq; &CupCap;	&#x0224D;	&#8781;	EQUIVALENT TO
≎	&bump; &HumpDownHump; &Bumpeq;	&#x0224E;	&#8782;	GEOMETRICALLY EQUIVALENT TO
≏	&bumpe; &HumpEqual; &bumpeq;	&#x0224F;	&#8783;	DIFFERENCE BETWEEN
